date,daily_views,daily_profile_views,channel_daily_like,channel_daily_comments,channel_daily_shares,channel_total_followers,daily_follower,upload_contents,type,content_name,url,view_cnt,like_cnt,comment_cnt
2025. 11. 5.,84585,1170,2806,26,53,20454,14,오리지널,오리지널 캠페인 기간,한림예고 노래방 듀엣 나는 어떤 스타일?,https://www.tiktok.com/@gs_vocalclub/video/7568747869788802325,11300,217,3
2025. 11. 6.,57245,748,1988,14,27,20468,7,,오리지널 캠페인 기간,,,,,
2025. 11. 7.,56878,843,1996,12,37,20475,13,오리지널,오리지널 캠페인 기간,한림예고 남녀 고음 당신의 취향은?,https://www.tiktok.com/@gs_vocalclub/video/7569131967040556309,28200,758,3
2025. 11. 8.,59708,906,2172,19,26,20488,0,,오리지널 캠페인 기간,,,,,
2025. 11. 9.,49931,772,1926,7,21,20488,16,,오리지널 캠페인 기간,,,,,
2025. 11. 10.,53319,896,1888,16,41,20504,19,오리지널,오리지널 캠페인 기간,한림예고 반전 실력자는?,https://www.tiktok.com/@gs_vocalclub/video/7570934723749448980,21200,317,9
2025. 11. 11.,47139,710,1696,20,25,20523,15,,오리지널 캠페인 기간,,,,,
2025. 11. 12.,70745,1037,2280,15,36,20538,5,오리지널,오리지널 캠페인 기간,한림예고 듀엣곡 당신의 취향은?,https://www.tiktok.com/@gs_vocalclub/video/7571645781640285461,34200,403,3
2025. 11. 13.,48410,774,1677,9,40,20543,17,,오리지널 캠페인 기간,,,,,
2025. 11. 14.,44163,644,1592,6,21,20560,9,,오리지널 캠페인 기간,,,,,
2025. 11. 15.,44545,603,1764,15,29,20569,3,,오리지널 캠페인 기간,,,,,
2025. 11. 16.,40085,546,1465,4,24,20572,3,,오리지널 캠페인 기간,,,,,
2025. 11. 17.,33186,501,1247,4,17,20575,7,,오리지널 캠페인 기간,,,,,
2025. 11. 18.,32135,490,1230,9,15,20582,5,,오리지널 캠페인 기간,,,,,
2025. 11. 19.,31385,476,1206,6,20,20587,-1,,오리지널 캠페인 기간,,,,,
2025. 11. 20.,30866,458,1111,7,13,20586,8,,오리지널 캠페인 기간,,,,,
2025. 11. 21.,31203,383,1092,1,10,20594,-1,,오리지널 캠페인 기간,,,,,
2025. 11. 22.,32107,489,1057,3,7,20593,-2,,오리지널 캠페인 기간,,,,,
2025. 11. 23.,26735,387,903,0,18,20591,6,,오리지널 캠페인 기간,,,,,
2025. 11. 24.,21744,352,784,0,16,20597,-6,,오리지널 캠페인 기간,,,,,
2025. 11. 25.,19698,293,660,7,12,20591,1,,오리지널 캠페인 기간,,,,,
2025. 11. 26.,32135,542,1195,13,18,20592,3,오리지널,오리지널 캠페인 기간,한림예고 실음과 나의 최애 보컬은?,https://www.tiktok.com/@gs_vocalclub/video/7576970134758247697,59200,2012,15
2025. 11. 27.,38101,561,1370,22,21,20595,-5,,비기간,,,,,
2025. 11. 28.,29571,476,1207,7,17,20590,-6,,비기간,,,,,
2025. 11. 29.,31542,518,1360,3,27,20584,-11,,비기간,,,,,
2025. 11. 30.,26099,475,1130,6,8,20573,-2,,비기간,,,,,
2025. 12. 1.,21460,359,832,2,15,20571,-2,,비기간,,,,,
2025. 12. 2.,22099,390,776,14,13,20569,-2,수급,비기간,흔한 고1 여고생 라이브,https://www.tiktok.com/@gs_vocalclub/video/7579135064877976833,14600,578,5
2025. 12. 3.,20529,330,726,3,22,20567,-4,,비기간,,,,,
2025. 12. 4.,25950,434,839,14,20,20563,-5,수급,비기간,09가 말아주는 찰진 싱잉랩,https://www.tiktok.com/@gs_vocalclub/video/7579924985129553160,31400,732,1
2025. 12. 5.,23974,403,934,-5,15,20558,-7,,비기간,,,,,
2025. 12. 6.,36706,621,1298,3,13,20551,-14,수급,비기간,아련함 끝판왕 19살 음색,https://www.tiktok.com/@gs_vocalclub/video/7580719625780890887,39500,1221,2
2025. 12. 7.,26812,446,957,-6,8,20537,0,,비기간,,,,,
2025. 12. 8.,24395,409,854,0,9,20537,7,,비기간,,,,,
2025. 12. 9.,33143,503,1236,3,25,20544,11,수급,비기간,겨울 눈꽃을 닮은 고딩 음색,https://www.tiktok.com/@gs_vocalclub/video/7581827962400460039,13400,382,0
2025. 12. 10.,28780,428,1070,10,13,20555,0,,비기간,,,,,
2025. 12. 11.,32115,506,1279,4,19,20555,-1,수급,비기간,통기타 라이브 말아주는 고2,https://www.tiktok.com/@gs_vocalclub/video/7582535924848921876,13300,477,1
2025. 12. 12.,25863,426,965,-2,23,20554,6,,비기간,,,,,
2025. 12. 13.,62878,991,2292,0,35,20560,-1,수급,비기간,축제에 나타난 음색 요정,https://www.tiktok.com/@gs_vocalclub/video/7582929449587445013,83600,2943,3
2025. 12. 14.,27195,448,1014,1,36,20559,8,,비기간,,,,,
2025. 12. 15.,32304,452,1256,-7,22,20567,-1,,비기간,,,,,
2025. 12. 16.,28529,449,1162,6,17,20566,-3,수급,비기간,폭닥 겨울 이불 같은 고1 보컬,https://www.tiktok.com/@gs_vocalclub/video/7584422942021307668,17600,515,5
2025. 12. 17.,27278,392,931,5,17,20563,9,,비기간,,,,,
2025. 12. 18.,28638,422,1166,-10,33,20572,1,수급,비기간,청춘의 한 장면 같은 고딩 밴드,https://www.tiktok.com/@gs_vocalclub/video/7585147209058897160,7138,242,2
2025. 12. 19.,23808,354,934,6,10,20573,17,,비기간,,,,,
2025. 12. 20.,34211,532,1548,-2,97,20590,-1,수급,비기간,첫눈 낭만 가득한 중3 라이브,https://www.tiktok.com/@gs_vocalclub/video/7585504721830415623,27600,1078,2
2025. 12. 21.,20995,357,779,2,9,20589,1,,비기간,,,,,
2025. 12. 22.,19459,308,786,-8,20,20590,6,,비기간,,,,,
2025. 12. 23.,33214,448,1071,7,18,20596,2,수급,비기간,중1이 부르는 겨울 아련송,https://www.tiktok.com/@gs_vocalclub/video/7585505088060361992,24200,578,7
2025. 12. 24.,30953,584,1116,-2,19,20598,5,오리지널,오리지널 캠페인 기간,,,,,
2025. 12. 25.,24894,415,819,-4,5,20603,-13,,오리지널 캠페인 기간,,,,,
2025. 12. 26.,20367,358,700,4,5,20590,0,,오리지널 캠페인 기간,,,,,
2025. 12. 27.,33182,748,1051,7,16,20590,-11,오리지널,오리지널 캠페인 기간,,,,,
2025. 12. 28.,21210,363,698,-1,10,20579,-7,,오리지널 캠페인 기간,,,,,
2025. 12. 29.,18576,326,600,3,20,20572,-2,,오리지널 캠페인 기간,,,,,
2025. 12. 30.,16259,288,650,8,8,20570,2,,오리지널 캠페인 기간,,,,,
2025. 12. 31.,23462,457,679,-2,13,20572,-8,오리지널,오리지널 캠페인 기간,,,,,
